Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Finland,48678.0,119.32,10.7,1.6,1.7721251890546235,0.94,9.2,41.0,0.28,0.7,1.8,0.0,0.01,2.4,15.0,12191.100468733246,223.0,27.4,4457.0,13.4,1.35,29.1,22.2,0.88,42.8,74.9,8661.52074653405,0.36,81.6,67.4,53.0,85.54206642024178,31.2,6.9,8.8,430.76,1919.21,9368.0,3220.0,1.7
France,40319.0,192.25,12.6,1.2,2.1,0.9,7.99,45.0,0.3,0.6,8.8,0.01,2.9,4.5,13.0,21786.0,230.0,31.6,5250.0,9.7,1.87,34.6,21.6,0.92,41.7,63.8,253.0,0.39,82.5,101.1,93.0,79.26685902292172,30.8,5.4,45.0,241.31,1020.95,106799.0,3530.0,10.7
Gabon,7773.0,77.36505525349429,11.5,4.960668663907396,2.8608494848889707,0.7,3.54,40.58929899756675,0.790310889285505,0.88,10.0,0.09071930388797253,0.3707967823044882,42.5,11.83847760093563,3072.0,35.0,38.0,491.0,13.1,3.92,21.225910354252434,15.0,0.49,21.0,56.3,106528.0,2.17,66.5,46.0,241.0,60.6,20.4,2.7,43.96529828104008,30.16,30.2,3110.9652301715396,2710.0,25.05
Georgia,4439.0,106.67674699285328,9.8,2.2,2.140304163755232,0.81,5.31,35.495975942817154,0.81,0.89,10.7,0.08125275746262925,0.01,9.6,14.0,106.0,128.0,36.4,796.0,7.7,2.06,34.4,21.7,0.86,38.6,75.9,102.0,-0.27,73.3,26.0,245.0,99.1,26.6,3.8,760.0,149.26,137.4,581.0,2730.0,5.8
Germany,46232.0,120.93,13.4,0.9,1.4,0.95,8.67,30.0,0.4,0.55,6.55,0.0,0.74,3.8,14.0,22214.0,165.0,31.9,6098.0,8.3,1.54,33.6,22.3,0.94,47.8,73.5,571.0,0.2,81.7,82.1,69.0,104.35407324770199,30.9,4.8,81.9,258.7,1255.9,79916.0,3540.0,8.4
Ghana,2203.0,51.93,2.7,2.1,1.933461628295686,0.61,6.5,36.50180717381525,0.95,0.71,17.6,0.0,-0.013493458379123524,46.2,12.641104930364225,482.0,30.0,43.5,168.0,10.5,3.82,6.5,10.9,0.14,21.4,57.5,3564.0,2.16,66.3,9.9,43.0,34.9,21.7,3.6,32.9,9.08,45.24,28.0,2900.0,27.2
Greece,19604.0,36.73,10.4,0.9,1.9091638439160468,0.89,7.39,40.0,0.71,0.93,3.85,0.0,0.03,3.8,15.0,10389.0,298.0,34.4,2340.0,3.6,1.35,50.2,24.9,0.75,45.3,57.7,285.0,-0.21,81.1,78.7,107.0,92.5,29.9,4.1,37.1,255.26,1036.57,6826.0,3710.0,15.4
Guatemala,4363.0,51.330300152128416,2.4,22.5,2.3854308133450397,0.66,4.97,38.5831784497208,0.88,0.87,0.1,0.0,0.01,24.5,10.801182489494924,3941.0,28.0,48.3,483.0,6.2,2.82,20.62804631570947,21.2,0.4,23.2,62.6,544.0,1.94,72.0,23.8,139.0,50.7,21.3,2.8,315.0,46.6,5.8,1042.0,2150.0,23.45
Guinea,967.0,93.33367859943661,1.3,2.014342840858215,2.1392404711351753,0.48,3.08,38.91269771632355,0.97,0.09,89.1,0.0,0.5295728550541696,98.8,10.0,1489.1906375299295,20.0,33.7,109.0,12.3,4.63,24.824815925786226,7.7,0.12,19.1,55.7,21906.771265161107,2.57,61.0,6.5,28.0,13.1,16.5,2.2,264.7795665905122,20.62,2.26,-6994.855914172542,2550.0,25.7
Guinea-Bissau,688.0,59.21363655046275,4.8,1.1,2.2155500910290833,0.48,2.63,39.68585926848061,0.9845474744095224,0.1,45.1,-0.0039875853919501825,-1.8682825070904556,78.5,16.0,390.0,94.0,50.7,123.0,12.4,4.4,25.32144041628895,9.5,0.04,18.0,54.0,-22050.492773356265,2.44,60.2,13.0,10.0,19.5,20.9,2.1,282.66847459211385,19.88,8.0,-5509.107928315527,2270.0,26.75
