Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Liberia,523.0,,5.8,3.3,,0.48,5.32,,0.94,0.86,20.0,0.0,,84.6,,774.0,51.0,35.3,12643.0,7.4,4.25,14.2,9.9,0.08,18.0,49.7,,2.52,64.1,7.9,54.0,32.8,18.9,2.3,,3.04,5.19,,2200.0,25.3
Libya,4810.0,,0.0,,,0.72,1.95,,,0.03,97.0,0.0,,11.5,14.0,3863.0,9.0,,,4.5,2.21,,32.5,0.21,25.8,,159383.0,1.33,75.8,28.6,139.0,24.2,29.2,2.3,405.0,75.0,24.26,26.0,3150.0,21.8
Lithuania,19795.0,132.67,15.0,4.6,,0.88,7.13,55.0,0.42,0.84,0.1,0.0,0.02,3.7,14.0,8054.0,74.0,37.3,2313.0,20.2,1.61,36.3,26.3,0.8,44.5,74.2,689.0,-0.55,76.0,49.5,216.0,99.8,27.3,4.0,14.1,295.46,809.28,3075.0,3430.0,6.2
Luxembourg,115481.0,154.26,13.0,0.3,,0.92,8.68,50.0,0.39,0.72,2.3,0.0,0.0,2.8,18.0,28438.0,22.1,34.9,6048.0,8.6,1.34,29.5,22.6,0.95,39.5,75.9,,1.27,82.4,141.7,83.0,,31.1,4.0,37.5,255.3,1438.16,2000.0,3680.0,8.65
Madagascar,523.0,41.4,1.9,,,0.53,5.7,,0.93,0.85,10.0,0.0,0.0,50.6,,397.0,41.0,42.6,79.0,9.2,4.03,44.0,5.3,0.1,20.3,56.6,,2.67,65.3,17.6,102.0,49.4,18.4,2.8,,24.84,4.84,119.0,2130.0,22.65
Malawi,435.0,,3.7,1.8,,0.48,5.74,,0.99,0.82,20.0,0.0,,41.6,,288.0,39.0,44.7,120.0,10.6,4.13,25.8,5.8,0.14,16.8,51.4,,2.87,65.6,5.1,71.0,35.1,17.9,4.0,,7.98,12.73,117.0,2150.0,21.9
Malaysia,11414.0,103.34,0.9,2.1,,0.81,7.19,,0.96,0.09,61.3,0.2,,8.6,10.0,2663.0,68.0,41.0,1194.0,5.8,1.98,28.9,15.6,0.8,29.2,74.0,21202.0,1.35,74.7,50.9,212.0,47.1,25.7,4.7,,25.28,750.48,15354.0,2890.0,25.4
Mali,887.0,,1.3,,,0.43,3.93,,0.95,0.02,95.0,0.0,,94.0,,583.0,26.0,33.0,90.0,8.0,5.79,13.0,8.6,0.12,16.1,58.1,,2.99,62.8,19.0,33.0,13.6,16.7,3.1,164.0,98.68,4.72,14.0,2590.0,28.25
Malta,33752.0,134.48,8.1,1.6,,0.9,7.68,,0.86,0.92,2.6,0.0,0.0,7.0,,10668.0,691.0,29.2,3897.0,5.3,1.1,33.9,28.9,0.79,42.3,68.6,,0.31,81.9,86.9,153.0,85.8,29.2,5.3,,190.06,960.73,404.0,3600.0,19.2
Mauritania,1678.0,,0.0,,,0.55,3.92,,0.98,0.0,99.9,,,72.9,7.0,981.0,76.0,32.6,190.0,5.5,4.5,,12.7,0.21,21.0,55.7,,2.69,68.4,29.9,53.0,26.6,19.0,2.6,,160.82,4.54,,2810.0,27.65
Mauritius,11169.0,,3.6,2.9,,0.8,8.14,,,0.32,17.3,0.0,,16.0,,2983.0,2007.0,36.8,1381.0,8.8,1.4,35.9,10.8,0.56,36.3,73.0,,0.23,74.1,39.6,218.0,64.6,25.4,4.8,,117.27,106.79,80.0,2930.0,22.4
Mexico,9849.0,48.35,6.5,29.1,,0.78,6.07,21.0,0.73,0.89,0.01,0.0,0.25,14.2,12.0,3266.0,43.0,45.4,1066.0,5.3,2.1,24.1,28.9,0.69,29.3,64.7,17142.0,1.23,76.0,58.6,166.0,78.9,26.0,4.9,35.4,111.87,129.53,7521.0,3260.0,21.0
Moldova,2957.0,114.01,15.2,4.1,,0.75,5.78,,0.72,0.95,0.4,,0.01,14.4,14.0,1895.0,70.0,25.7,480.0,12.2,1.27,24.5,18.9,,37.7,59.1,,-0.24,73.3,22.7,182.0,95.8,25.8,6.7,,155.18,51.83,,2850.0,9.45
Mongolia,4295.0,43.67,7.4,6.2,,0.74,6.48,,,0.01,5.0,0.55,,15.6,14.0,1892.0,245.0,32.7,519.0,18.0,2.87,38.5,20.6,0.23,29.8,55.4,7739.0,1.5,68.1,108.8,154.0,94.6,26.0,4.1,,139.82,44.48,285.0,2240.0,-0.7
Montenegro,8825.0,64.44,8.0,2.2,,0.83,5.77,,0.71,0.79,19.1,0.0,,2.3,14.0,2645.0,151.0,39.0,1711.0,16.2,1.75,,23.3,0.8,39.6,60.5,,0.04,75.9,,172.0,93.9,28.6,,,349.21,398.21,,2700.0,10.55
Morocco,3282.0,,0.6,1.4,,0.69,5.04,,0.97,0.01,99.0,0.0,0.01,21.4,12.0,3736.0,46.0,39.5,467.0,7.3,2.38,23.4,26.1,0.61,29.1,62.9,4.0,1.26,73.0,20.6,238.0,34.1,25.5,5.4,,54.68,140.36,3677.0,3260.0,17.1
Mozambique,504.0,,2.4,3.5,,0.46,3.51,,0.86,0.56,17.9,0.0,,74.2,16.0,576.0,72.0,54.0,118.0,23.2,4.78,27.8,7.2,0.21,17.0,48.6,,2.86,58.1,5.6,63.0,26.0,17.5,6.5,246.0,4.79,4.71,,2070.0,23.8
Myanmar,1421.0,,4.8,2.3,,0.58,3.04,,0.97,0.06,,0.9,,44.7,7.0,672.0,17.0,30.7,292.0,3.0,2.14,63.3,,0.31,,53.6,284.0,0.9,69.1,10.7,171.0,58.2,20.5,2.2,93.7,31.48,4.3,3660.0,,13.05
Namibia,4957.0,,9.8,17.7,,0.65,6.52,,0.92,0.9,0.4,0.0,0.0,42.4,,,64.0,59.1,883.0,13.5,3.34,27.0,17.2,0.38,21.8,58.7,,2.12,64.6,34.0,295.0,56.7,29.2,8.4,,73.05,63.72,106.0,2360.0,19.95
Nepal,1074.0,,2.0,2.3,,0.6,5.22,,0.93,0.01,4.2,0.1,,30.8,10.0,1430.0,16.0,32.8,180.0,9.8,1.88,64.2,4.1,0.36,25.3,53.8,,1.09,70.9,10.0,86.0,20.8,17.9,5.2,,52.1,28.19,,2340.0,8.1
Netherlands,53053.0,152.94,8.7,0.6,,0.94,8.96,45.0,0.33,0.4,5.1,0.0,0.19,4.0,12.0,23315.0,453.0,28.5,5635.0,9.3,1.57,32.2,20.4,0.93,42.8,76.8,1070.0,0.29,81.8,89.3,63.0,,30.9,5.5,21.0,341.47,1785.33,16502.0,3000.0,9.25
New Zealand,43264.0,153.88,10.7,0.7,,0.93,9.25,39.0,0.33,0.37,0.9,0.02,0.05,4.7,10.0,27407.0,90.0,,4024.0,10.3,1.72,29.6,30.8,0.9,37.2,84.4,7633.0,0.93,82.0,142.1,188.0,,,6.4,86.0,137.25,1663.25,3600.0,2810.0,10.55
